,PINCP
0,False
1,False
2,False
3,True
4,False
5,True
6,False
7,False
8,True
9,False
10,False
11,False
12,True
13,False
14,True
15,False
16,False
17,False
18,False
19,False
20,True
21,False
22,False
23,False
24,False
25,False
26,True
27,True
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,True
37,False
38,False
39,False
40,True
41,False
42,False
43,True
44,False
45,False
46,False
47,False
48,True
49,True
50,True
51,False
52,True
53,False
54,True
55,True
56,False
57,True
58,True
59,True
60,True
61,False
62,True
63,False
64,False
65,False
66,True
67,False
68,False
69,False
70,False
71,True
72,False
73,False
74,True
75,True
76,True
77,False
78,False
79,True
80,False
81,False
82,True
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,True
91,False
92,False
93,True
94,True
95,False
96,False
97,False
98,True
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,True
108,True
109,True
110,True
111,True
112,False
113,False
114,False
115,False
116,True
117,True
118,False
119,False
120,False
121,False
122,False
123,True
124,False
125,False
126,True
127,True
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,True
136,False
137,False
138,True
139,False
140,True
141,False
142,False
143,False
144,False
145,True
146,True
147,True
148,False
149,True
150,False
151,False
152,True
153,False
154,False
155,False
156,False
157,False
158,True
159,False
160,False
161,False
162,False
163,False
164,False
165,True
166,False
167,False
168,False
169,True
170,True
171,False
172,False
173,False
174,False
175,False
176,True
177,True
178,False
179,True
180,False
181,False
182,False
183,False
184,False
185,False
186,True
187,True
188,False
189,False
190,True
191,True
192,False
193,False
194,False
195,False
196,False
197,True
198,False
199,True
200,True
201,True
202,False
203,False
204,False
205,True
206,True
207,False
208,False
209,False
210,False
211,False
212,False
213,False
214,True
215,True
216,True
217,False
218,False
219,False
220,False
221,True
222,False
223,False
224,False
225,True
226,False
227,False
228,False
229,False
230,False
231,True
232,False
233,True
234,True
235,False
236,False
237,False
238,False
239,False
240,False
241,True
242,False
243,True
244,False
245,True
246,False
247,False
248,False
249,False
250,True
251,False
252,False
253,False
254,False
255,False
256,False
257,False
